query_index,query_tweet_id,gold_intent,query_text,rank,similarity,retrieved_customer_tweet_id,retrieved_agent_tweet_id,retrieved_customer_text,retrieved_agent_response
0,981467,OTHER,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,1,0.5658774375915527,2907818,2907817,En @116928 son tan pesados con el prime que por accidente he activado la prueba de 30 días.,"@805132 ¡Hola! En este caso puedes verificar más información de nuestro servicio Amazon Prime Video, accesando en el siguiente enlace: https://t.co/vp9OfaVfw1. ^NB"
1,2199056,TECHNICAL,"@AmazonHelp I️ guess prime video streaming doesn’t work,",1,0.8417587280273438,2171032,2171031,@AmazonHelp How to stream Amazon prime video on my Sony TV.,@636815 I'll be happy to help! You can find some helpful info about accessing Prime Video on your TV here: https://t.co/rrNzkvO7e8 ^SD
2,1939024,OTHER,@AmazonHelp I have some now after 5 1/2 hrs trying!,1,0.8081686496734619,1755051,1755053,@AmazonHelp I tried but it was a super long wait 😬😬 I’ll try again in the morning,@528557 Please keep us posted Erin ^TP
3,1104387,TECHNICAL,"@AmazonHelp I've tried it on two devices.  It says ""Not available"" or ""This video is currently unavailable to watch in your location.""",1,0.7801759243011475,319377,319379,@AmazonHelp Please de-list this device from Amazon.in. It does NOT work at all. I can send you a video if needed.,@183211 We've forwarded your feedback to the concerned team for review. ^HA
4,1432324,DELIVERY_DELAY,@AmazonHelp Fed up of listening apologies from day 1. Got faulty phone. urgent need of phone by tmrw but no fast processing &amp; still u ask to wait!!!,1,0.739812433719635,1259707,1259708,@AmazonHelp I need the phone urgently. I have paid to get the phone urgently. Not for getting it 4-5 days later.,@415149 Kindly connect with us here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG
5,1155096,DELIVERY_DELAY,"@AmazonHelp that date is oct 31. the issue is i paid for one day shipping and that is 7 days of waiting, why did i pay more if i have to wait a week LOL",1,0.7761377692222595,1392420,1392419,@AmazonHelp Why do I pay for next day shipping if it's still going to take a week is my whole point.,@443854 Hi Lexi- Next day shipping would start as soon as the item is dispatched. We would aim to have the item with you in one day. ^NV
6,2925584,DELIVERY_FAILURE,"@178440 Su servicio en Hermosillo es pésimo, ni siquiera visitan los domicilios. @116875 dejen de usarlos POR FAVOR.",1,0.7473292350769043,2229402,2229400,"@116928 con el gran servicio que ofrecéis, que pena que trabajéis con @137605. Ni siquiera se puede contactar con ellos.Otra vez..","@650599 Hola Leticia, lamentamos el inconveniente.¿ @137605 podrían ayudarnos con la consulta de Leticia? ^MB"
7,2457184,DELIVERY_FAILURE,@AmazonHelp @115850 is not intrested in any business. All my pasy orders are being returned for no reason? They just don’t want to co-operate. They dodn’t have any sort of responsiblity &amp; proper answers. Worst system i could have ever imagined.No use of prime membership #Noprime #NoAmazon,1,0.8139082193374634,64072,64071,"@AmazonHelp @115821 your customer service agents try but can’t solve real problems. I have regular issues with Amazon and no one ever does anything different. As a long time prime member, I don’t feel valued at all nor do I get “prime” service. Want someone higher up to hear me.",@130707 Sorry to hear that. Without giving out personal info please let us know what happened? ^RS
8,545718,TECHNICAL,@AmazonHelp I had a Prime Video trial for 1 month. I reported the issue (geo restriction) to Amazon.fr several times. They always told me they would come back to me. They never did. Now my trial is over.,1,0.8195228576660156,2452816,2452818,"@AmazonHelp That's my concern I am unable to buy Prime video.
Couldn't get help from CC team as well after wasting almost 1Hr on call with them.",@702767 to watch Prime Videos. You can know more about Prime Video here: https://t.co/BOuTqK3bEd. (2/2)^SF
9,134893,DELIVERY_FAILURE,デリバリープロバイダさん、穴が開いた荷物を持ってくるの巻(Amazon～デリバリープロバイダの倉庫間の事故、中身がダメならAmazonに文句を言ってくれとの言質をとった) https://t.co/lOpHzTIfg4,1,0.8133560419082642,2391291,2391290,やられた。AMAZONの配送、デリバリープロバイダは、二日間来てもないし不在通知もないのに、配達完了になっている。最悪だな、デリバリープロバイダ。#amazon #デリバリープロバイダ,@688733 ご迷惑をお掛けしております。該当の注文など詳細を確認した上でご案内させていただきますので、誠に恐れ入りますが、リンクよりカスタマーサービスにお問い合わせください。https://t.co/J6YEizo6qC TN
