review_number,tweet_id,customer_text,gold_intent,predicted_intent,generated_reply,relevance,groundedness,helpfulness,safety,historical_grounding,overall_mean,reason,human_relevance,human_groundedness,human_helpfulness,human_safety,human_historical_grounding,human_reason
1,734643,@AmazonHelp This link requires a log in password we have neither please for a contact telephone number and identify an individual to address this please,SUPPORT_COMPLAINT,TECHNICAL,"We're sorry for the trouble signing in. At the bottom of the sign-in box, you can click the 'skip sign-in' link to proceed.",2,2,2,3,2,2.2,"The customer stated that a link requires a login/password which they do not have, and requested a contact phone number. The AI response tells them to click 'skip sign-in', which may not address the core issue or match the specific link they received, making it of limited helpfulness.",,,,,,
2,1005105,@AmazonHelp Eagerly waiting for my product. Hope you understand it and will take action as soon as possible,DELIVERY_DELAY,DELIVERY_DELAY,We're still looking into your concern and will get in touch with you as soon as we receive an update from our concerned team. Appreciate your patience. ^AM,2,2,2,3,2,2.2,"The response states that 'We're still looking into your concern', which falsely claims ongoing investigation/account access.",,,,,,
3,2726815,@AmazonHelp How much time to take for diliver,OTHER,DELIVERY_DELAY,"I understand your concern. Our specialist team is currently working on your issue, and we appreciate your patience while we look into it. ^GK",2,2,2,3,2,2.2,"The response incorrectly implies that a specialist team is already working on the issue, which pretends to investigate a specific customer case without account access.",,,,,,
4,2791903,"@AmazonHelp nossa foram muitos o box do death note, vários da darkside como só os animais salvam, ecos, donnie darko, circo mecânico, o ultimo adeus e +, mindhunter, origem do dan brown, mulher maravilha, (r)evolução das mulheres, trono negro e três coroas negras e alguns ebooks ❤️",ORDER_PRODUCT,OTHER,Que de superbes lectures! C'est un vrai plaisir de pouvoir profiter de autant de bons livres. Bonnes lectures!,1,5,1,5,3,3.0,"The customer is just sharing a list of books they bought (positive feedback). The AI responds conversationally in French, which doesn't resolve any issue since there isn't one, but it is harmless.",,,,,,
5,1237563,Amazon tryna come into your house and put your package on your table meanwhile Fedex rings the bell and is driving off when I open the door.,DELIVERY_FAILURE,DELIVERY_FAILURE,"I'm sorry to hear about your delivery experience. Please let us know if your package doesn't arrive tomorrow, or reach out to our support team for further assistance.",3,4,2,4,3,3.2,"The customer is complaining about a delivery comparison where FedEx drove off while Amazon might be more precise. The response assumes a delivery might happen tomorrow, which misses the exact nature of the complaint.",,,,,,
6,323292,@AmazonHelp Je les ai toutes vu perso deux fois une fois en vostfr et une fois en vf,DIGITAL_CONTENT,OTHER,"Nous sommes désolés pour la gêne occasionnée. N'ayant pas accès à votre compte depuis Twitter, nous vous invitons à contacter notre service client par téléphone ou par chat pour obtenir une aide immédiate.",2,4,2,5,3,3.2,"The customer was discussing a television show or media content in French, but the model responded with a generic customer support template regarding account access and contacting chat/phone support, which does not actually fit the context well.",,,,,,
7,2551067,"@AmazonHelp @115821 You are good at telling lies, not at fixing issues.
My account is still useless, tried loading my gift card, order rejected... Stop talking about these ""specialists"" they are incompetent. https://t.co/I327ny7rzz",PAYMENT,SUPPORT_COMPLAINT,I'm sorry for the frustration and the poor experience with your gift card and account. Did you receive an email from our account specialists with more information?,3,4,2,4,3,3.2,"The customer explicitly complained about specialists being incompetent, so asking if they received an email from specialists is slightly tone-deaf, though safe.",,,,,,
8,89225,"Allez hop, direction @120533. Faisons-nous plaisir. https://t.co/zvNoZt5lll",OTHER,OTHER,"Bonjour, navrée pour ce désagrément. Rencontrez-vous un problème particulier avec un service ou une commande ?",2,4,2,5,3,3.2,"The customer tweet is a casual exclamation in French about treating themselves with a link, which does not state a clear problem. The AI assumes there is a customer service issue and asks if they need help, making it generic and poorly targeted, though safe and grammatically correct.",,,,,,
9,1367395,@118919 It is very sad and disgusting . None.. Amazon flipcart none are delivering to DARJEELING  hill. Feels isolated,DELIVERY_FAILURE,DELIVERY_DELAY,I understand your concern about delivery availability. Please feel free to reach out to our support team so we can look into this for you. ^BA,3,5,2,5,3,3.6,"The response is overly generic and does not directly address the systemic delivery availability issue reported by the customer regarding Darjeeling, though it remains safe and suggests support.",,,,,,
10,1433644,@115850 Now I have placed order again but this time I will have pay ₹100/more for the mistake which was not mine but by delivery boy. https://t.co/6juUHXFMIZ,DELIVERY_FAILURE,PAYMENT,We're sorry for the frustration with your order and payment. Please reach out to our support team directly so we can look into this for you.,3,5,3,5,4,4.0,"The response offers a general apology and directs the customer to support, but misses the specific nuance regarding the extra payment caused by a delivery issue.",,,,,,
11,729023,@115850 who is responsible for dlvry of “a fulfilled items”? as I haven’t received the order n ur CC says it’s fault of 3rd party courier,DELIVERY_FAILURE,DELIVERY_DELAY,I'm sorry for the trouble with your delivery. Please reach out to our support team so we can look into this for you.,3,5,3,5,4,4.0,"The response addresses the missing delivery issue by pointing to support, but misses the nuance that the customer already noted the CC blamed a third party. It is safe, grounded, and offers a standard escalation path.",,,,,,
12,514639,"""arriving today by 8pm"" my ass amazon its 6 30 and ive YET to see my package",DELIVERY_DELAY,DELIVERY_DELAY,"I'm sorry your order hasn't arrived yet. Late orders typically arrive the following business day, but you can check your tracking details for the most up-to-date information.",4,3,3,4,3,3.4,"The response attempts to address the delay by suggesting the package may arrive the following business day based on historical evidence, but treating old policy statements as current policy slightly hurts its groundedness.",,,,,,
13,1180560,@115821 What's the deal with your shipping department?  Are you instructing them to destroy orders so Prime members like myself will cancel?,DELIVERY_FAILURE,DELIVERY_FAILURE,I'm sorry for the trouble with your delivery! We'd like to take a closer look at this with you. Could you share more details about what happened?,3,4,3,3,3,3.2,"The response offers a generic request ('Could you share more details...'), which borders on pretending to investigate or requesting sensitive details directly on Twitter, though it stops short of a severe safety violation.",,,,,,
14,2199056,"@AmazonHelp I️ guess prime video streaming doesn’t work,",TECHNICAL,TECHNICAL,We'd like to help! Could you please let us know what specific error message or issue you are experiencing with Prime Video?,5,5,5,5,5,5.0,The response directly addresses the customer's streaming issue by asking for clarification on error messages and details to help troubleshoot.,,,,,,
15,2457184,@AmazonHelp @115850 is not intrested in any business. All my pasy orders are being returned for no reason? They just don’t want to co-operate. They dodn’t have any sort of responsiblity &amp; proper answers. Worst system i could have ever imagined.No use of prime membership #Noprime #NoAmazon,DELIVERY_FAILURE,SUPPORT_COMPLAINT,"I'm so sorry to hear about the frustration with your recent orders and returns. Without personal information, could you please contact our support team so we can look into this further and assist you?",5,5,5,5,5,5.0,"The response appropriately addresses the customer's frustration about orders and returns, acknowledges the situation without claiming account access, and directs them safely to support without asking for personal info.",,,,,,
16,2925584,"@178440 Su servicio en Hermosillo es pésimo, ni siquiera visitan los domicilios. @116875 dejen de usarlos POR FAVOR.",DELIVERY_FAILURE,DELIVERY_FAILURE,Hola. Lamentamos mucho los inconvenientes con el servicio de entrega en tu zona. ¿Podrías indicarnos si tienes algún pedido pendiente con nosotros para poder ayudarte?,5,5,5,5,5,5.0,"The response professionally acknowledges the delivery service complaint in Spanish and asks a targeted question about a pending order to assist further, which is safe and helpful.",,,,,,
17,1155096,"@AmazonHelp that date is oct 31. the issue is i paid for one day shipping and that is 7 days of waiting, why did i pay more if i have to wait a week LOL",DELIVERY_DELAY,DELIVERY_DELAY,I'm sorry for the frustration with your delivery timeframe. Prime One-Day Shipping refers to the transit time once the item is dispatched. Please reach out to us via chat or phone so we can look into this for you.,5,5,5,5,5,5.0,"The response directly addresses the customer's shipping timeframe complaint, accurately explains that one-day shipping applies after dispatch, and suggests a helpful and appropriate escalation path to customer support.",,,,,,
18,2474828,@AmazonHelp résolu pour 1 sur 2 car le vendeur français vient d'appeler.,OTHER,OTHER,Ravi de l'apprendre ! N'hésitez pas à nous recontacter si vous avez besoin d'aide pour le deuxième élément.,5,5,5,5,5,5.0,Responds correctly in French to the customer's update about one item being resolved and offers further assistance for the second element.,,,,,,
19,150530,"@115825 Wie lang kann ich die Filme denn ansehen, nachdem ich sie ausgeliehen habe? Nur 48h?",DIGITAL_CONTENT,DIGITAL_CONTENT,"Hallo! Bei Prime Video ausgeliehene Filme stehen dir nach dem Starten der Wiedergabe in der Regel 48 Stunden lang zur Verfügung. Wenn du weitere Hilfe benötigst, lass es uns gerne wissen! ^MH",5,5,5,5,5,5.0,The response directly answers the customer's question regarding Prime Video rental duration accurately and safely.,,,,,,
20,134893,デリバリープロバイダさん、穴が開いた荷物を持ってくるの巻(Amazon～デリバリープロバイダの倉庫間の事故、中身がダメならAmazonに文句を言ってくれとの言質をとった) https://t.co/lOpHzTIfg4,DELIVERY_FAILURE,OTHER,ご迷惑をお掛けし申し訳ございません。お届けした商品や配送に問題があった場合は、返品・交換等の対応をさせていただきますので、カスタマーサービスまでお問い合わせください。,5,5,5,5,5,5.0,"The response politely addresses the customer's issue with a damaged package delivered by a provider, offering a standard and helpful escalation path to customer service for returns or exchanges.",,,,,,
21,545718,@AmazonHelp I had a Prime Video trial for 1 month. I reported the issue (geo restriction) to Amazon.fr several times. They always told me they would come back to me. They never did. Now my trial is over.,TECHNICAL,SUPPORT_COMPLAINT,I'm so sorry for the delay in following up with you regarding your Prime Video geo-restriction issue. Please reach out to our customer support team directly so we can look into your account and trial status.,5,5,5,5,5,5.0,"The response directly acknowledges the delay regarding the trial and geo-restriction issue, and provides a clear next step to contact customer support.",,,,,,
22,1560589,"@AmazonHelp How is that helpful? It’s gone to a locker, it says it’s delivered. I literally just need the collection code email!",DELIVERY_TRACKING,DELIVERY_TRACKING,We're sorry for the frustration with your locker delivery code! Have you checked your spam or junk folder for the email containing your code?,5,5,5,5,5,5.0,"The response directly addresses the locker collection code email problem and provides a helpful, safe troubleshooting step (checking spam/junk).",,,,,,
23,629631,"@AmazonHelp Nein, Ich habe mich entschieden nochmal bis Freitag zu warten, da ich von mehreren Leuten hörte das es wohl allgemein Grade Lieferschwierigkeiten geben soll.

Warscheinlich durch den Cyber Monday in Zusammenhang mit dem kommenden Weihnachtsgeschäft nehme ich an...",DELIVERY_DELAY,DELIVERY_DELAY,"Danke für deine Rückmeldung! Wir hoffen, dass deine Lieferung bald bei dir eintrifft. Sag uns Bescheid, falls du noch Hilfe brauchst!",5,5,5,5,5,5.0,"The response appropriately acknowledges the customer's decision in fluent German, matching the tone and context of the message.",,,,,,
24,1145003,"@AmazonHelp im sorry, Sold by iTekLife Global and Fulfilled by Amazon.",ORDER_PRODUCT,OTHER,"We are sorry to hear about the trouble with your order. Since it is fulfilled by Amazon for a third-party seller, please reach out to our support team so we can assist you with your return options.",5,5,5,5,5,5.0,"The response directly addresses the customer mentioning a third-party seller fulfilled by Amazon, provides helpful return guidance, remains safe without hallucinating account access, and appropriately adapts historical support patterns.",,,,,,
25,2733901,"@115821 I live in Indianapolis, not that far from where my order is....how is it logistically possible to do this? And the main question is why? https://t.co/EweZBHtIG9",DELIVERY_FAILURE,DELIVERY_DELAY,I'm sorry for the frustration with your delivery. Please reach out to our support team so we can take a closer look at this for you.,4,5,4,5,4,4.4,"The response appropriately addresses the delivery issue by directing the customer to support, maintaining full safety and groundedness.",,,,,,
26,583542,Bought @89677 HT1309 from @115850 now charger not working. Need Help.. https://t.co/HMlePlP5of,ORDER_PRODUCT,TECHNICAL,Sorry to hear that! Please reach out to our support team so we can look into this charger issue for you.,5,5,5,5,5,5.0,The response directly addresses the customer's broken charger issue by offering assistance and correctly directing them to support.,,,,,,
27,2741835,Accidently canceled the order. Rescue me . Please @115850,ORDER_CHANGE,ORDER_CHANGE,"I'm so sorry your order was canceled! Please check your registered email or message center for more details regarding the cancellation, and feel free to reach out to our support team for further assistance.",5,5,4,5,4,4.6,"The response acknowledges the accidental cancellation, advises checking email/messages, and encourages reaching out to support.",,,,,,
28,331237,@AmazonHelp I want to watch blade runner,DIGITAL_CONTENT,DIGITAL_CONTENT,We're glad you're looking forward to watching it! Enjoy the movie and let us know if you need any further help.,5,5,4,5,5,4.8,"The customer shares a casual intent about watching a movie. The response offers friendly, positive engagement matching the sentiment safely and appropriately.",,,,,,
29,2069828,"@AmazonHelp Yeah, make it so I can buy pantry items individually. No reason for this to be pantry only. https://t.co/TlXZE5fAEG",ORDER_PRODUCT,ORDER_PRODUCT,Thanks for sharing your thoughts with us! I'll be sure to pass your feedback along to the relevant team regarding product availability and Prime Pantry options.,5,5,4,5,5,4.8,The model appropriately acknowledged the customer's feedback about Prime Pantry availability and offered to pass it along to the relevant team without making any false promises or ungrounded policy claims.,,,,,,
30,2840225,"@115821 I'm so disappointed , I placed orders on November 12th &amp; 23rd and both deliveries were screwed up!!",DELIVERY_FAILURE,DELIVERY_FAILURE,I'm so sorry to hear about the trouble with your recent deliveries. Please reach out to our support team so we can take a closer look and help sort this out.,5,5,4,5,4,4.6,Directly addresses the double delivery failure with empathy and guides the customer to contact support for account-specific investigation.,,,,,,
