query_index,query_tweet_id,gold_intent,query_text,rank,similarity,retrieved_customer_tweet_id,retrieved_agent_tweet_id,retrieved_customer_text,retrieved_agent_response
0,981467,OTHER,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,1,0.5658774375915527,2907818,2907817,En @116928 son tan pesados con el prime que por accidente he activado la prueba de 30 días.,"@805132 ¡Hola! En este caso puedes verificar más información de nuestro servicio Amazon Prime Video, accesando en el siguiente enlace: https://t.co/vp9OfaVfw1. ^NB"
0,981467,OTHER,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,2,0.560104489326477,255072,255071,@116875 el prime que dan gratis un mes tiene algún precario o autorización a la tarjeta en caso de aceptarlo?,@168551 Hola Carlos. En la mayoría de los caso es hecha una autorización cuando inicias la prueba gratuita. ^HC
0,981467,OTHER,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,3,0.5528987050056458,439655,439654,"@116928 debería dejar de usar @130709 @132703 , ya que si tienes cuenta Prime, no llegan los pedidos al día siguiente.",@219376 Lamento esta experiencia. Recuerda que puedes reportar cualquier incidente con Servicio al Cliente. ^VL
0,981467,OTHER,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,4,0.5522599220275879,1001064,1001063,Hola @116928. ¿Cómo hablo con un responsable o encargado de un pedido de Prime? Por telefono es la tercera vez que cuelgan...,"@356993 Hola Domingo, lamentamos el inconveniente. Sin publicar datos personales o de tu cuenta, ¿nos podrías indicar que ha pasado? ^MB"
0,981467,OTHER,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,5,0.549532413482666,537431,537429,E pela primeira vez a @117086 me decepcionou atrasando a entrega... https://t.co/XWazHfhMm0,"@244580 Olá Tielle, sinto muito pelo inconveniente. Qual era a data estimada do pedido ? ^MB"
1,2199056,TECHNICAL,"@AmazonHelp I️ guess prime video streaming doesn’t work,",1,0.8417587280273438,2171032,2171031,@AmazonHelp How to stream Amazon prime video on my Sony TV.,@636815 I'll be happy to help! You can find some helpful info about accessing Prime Video on your TV here: https://t.co/rrNzkvO7e8 ^SD
1,2199056,TECHNICAL,"@AmazonHelp I️ guess prime video streaming doesn’t work,",2,0.8388017416000366,2686393,2686396,@AmazonHelp Just changed over to prime video,"@755452 We're unable to view your account via Twitter. For available options, please reach out to us here: https://t.co/hApLpMlfHN ^AB"
1,2199056,TECHNICAL,"@AmazonHelp I️ guess prime video streaming doesn’t work,",3,0.8337777853012085,929654,929653,@AmazonHelp why is prime video down,@340568 Hi Louise. I'm not able to replicate this issue. Are you receiving an error message when trying to view a video? ^HC
1,2199056,TECHNICAL,"@AmazonHelp I️ guess prime video streaming doesn’t work,",4,0.8159052133560181,24533,24531,@AmazonHelp I am unable to Use Prime Video even though I am Prime Member it tells me to sign up for prime Membership,@121290 Apologies for the trouble. Could you please let us know if you have logged in on prime enabled account? ^SB
1,2199056,TECHNICAL,"@AmazonHelp I️ guess prime video streaming doesn’t work,",5,0.8084093332290649,447242,447244,@AmazonHelp My phone... using prime video,@220942 Thank you for providing us with this information! Here's a link to our Help page with troubleshooting steps: https://t.co/wwF0dN3xKw. Please let us know if these steps don't resolve your issue. ^BV
2,1939024,OTHER,@AmazonHelp I have some now after 5 1/2 hrs trying!,1,0.8081686496734619,1755051,1755053,@AmazonHelp I tried but it was a super long wait 😬😬 I’ll try again in the morning,@528557 Please keep us posted Erin ^TP
2,1939024,OTHER,@AmazonHelp I have some now after 5 1/2 hrs trying!,2,0.8026435375213623,395473,395475,@AmazonHelp trying now...,@206064 Great! Thanks for letting us know. Please keep us posted. ^CO
2,1939024,OTHER,@AmazonHelp I have some now after 5 1/2 hrs trying!,3,0.7964507341384888,1579665,1579664,@AmazonHelp Have looked - have been trying over the past few days :(,@486411 Oh my! We'd like to look further into this with you. Please give us a call here: https://t.co/zYVX1Qi29G. ^WJ
2,1939024,OTHER,@AmazonHelp I have some now after 5 1/2 hrs trying!,4,0.7909489274024963,985037,985036,@AmazonHelp I'm waiting since last few days hope it works this time,@353489 Sure thing! We'll keep you posted. ^AB
2,1939024,OTHER,@AmazonHelp I have some now after 5 1/2 hrs trying!,5,0.7901517152786255,307184,307185,@AmazonHelp Immediately after your request last night,@189283 Thank you for filling it out. We'll be reaching out as soon as possible.Wee appreciate your patience. ^JE
