tweet_id,text,text_clean,word_count,gold_intent,gold_escalation,gold_reason,annotator_notes
981467,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,Han puesto los dos primeros capítulos de Estoy Vivo . Imagino que la irán actualizando semanalmente.,16,OTHER,AUTO_HANDLE,Non-actionable digital-content comment; no support request.,
2199056,"@AmazonHelp I️ guess prime video streaming doesn’t work,","I️ guess prime video streaming doesn’t work,",7,TECHNICAL,AUTO_HANDLE,Prime Video streaming appears not to work.,
1939024,@AmazonHelp I have some now after 5 1/2 hrs trying!,I have some now after 5 1/2 hrs trying!,9,OTHER,ESCALATE,Insufficient context to determine the underlying issue.,
1104387,"@AmazonHelp I've tried it on two devices.  It says ""Not available"" or ""This video is currently unavailable to watch in your location.""","I've tried it on two devices. It says ""Not available"" or ""This video is currently unavailable to watch in your location.""",21,TECHNICAL,AUTO_HANDLE,Video unavailable/location restriction is a digital-service access problem.,
1432324,@AmazonHelp Fed up of listening apologies from day 1. Got faulty phone. urgent need of phone by tmrw but no fast processing &amp; still u ask to wait!!!,Fed up of listening apologies from day 1. Got faulty phone. urgent need of phone by tmrw but no fast processing and still u ask to wait!!!,27,DELIVERY_DELAY,ESCALATE,Urgent replacement/delivery issue requires order-specific action.,
1155096,"@AmazonHelp that date is oct 31. the issue is i paid for one day shipping and that is 7 days of waiting, why did i pay more if i have to wait a week LOL","that date is oct 31. the issue is i paid for one day shipping and that is 7 days of waiting, why did i pay more if i have to wait a week LOL",34,DELIVERY_DELAY,ESCALATE,Paid expedited shipping but delivery is substantially delayed.,
2925584,"@178440 Su servicio en Hermosillo es pésimo, ni siquiera visitan los domicilios. @116875 dejen de usarlos POR FAVOR.","Su servicio en Hermosillo es pésimo, ni siquiera visitan los domicilios. dejen de usarlos POR FAVOR.",16,DELIVERY_FAILURE,ESCALATE,Delivery provider is failing to properly deliver to the location.,
2457184,@AmazonHelp @115850 is not intrested in any business. All my pasy orders are being returned for no reason? They just don’t want to co-operate. They dodn’t have any sort of responsiblity &amp; proper answers. Worst system i could have ever imagined.No use of prime membership #Noprime #NoAmazon,is not intrested in any business. All my pasy orders are being returned for no reason? They just don’t want to co-operate. They dodn’t have any sort of responsiblity and proper answers. Worst system i could have ever imagined.No use of prime membership #Noprime #NoAmazon,45,DELIVERY_FAILURE,ESCALATE,Orders are repeatedly being returned without explanation.,
545718,@AmazonHelp I had a Prime Video trial for 1 month. I reported the issue (geo restriction) to Amazon.fr several times. They always told me they would come back to me. They never did. Now my trial is over.,I had a Prime Video trial for 1 month. I reported the issue (geo restriction) to Amazon.fr several times. They always told me they would come back to me. They never did. Now my trial is over.,37,TECHNICAL,ESCALATE,Geo-restriction issue remains unresolved after repeated support contacts.,
134893,デリバリープロバイダさん、穴が開いた荷物を持ってくるの巻(Amazon～デリバリープロバイダの倉庫間の事故、中身がダメならAmazonに文句を言ってくれとの言質をとった) https://t.co/lOpHzTIfg4,デリバリープロバイダさん、穴が開いた荷物を持ってくるの巻(Amazon～デリバリープロバイダの倉庫間の事故、中身がダメならAmazonに文句を言ってくれとの言質をとった),1,DELIVERY_FAILURE,ESCALATE,Package arrived damaged during delivery.,
150530,"@115825 Wie lang kann ich die Filme denn ansehen, nachdem ich sie ausgeliehen habe? Nur 48h?","Wie lang kann ich die Filme denn ansehen, nachdem ich sie ausgeliehen habe? Nur 48h?",15,DIGITAL_CONTENT,AUTO_HANDLE,Informational question about the viewing period for rented content.,
2971969,"@AmazonHelp No I did that yesterday. I am not doing that anymore. I can't do this anymore. I am exhausted. I just came from work and class, Why did I want to waste my time with a customer service person who is going to tell me the same thing that your website tells me.","No I did that yesterday. I am not doing that anymore. I can't do this anymore. I am exhausted. I just came from work and class, Why did I want to waste my time with a customer service person who is going to tell me the same thing that your website tells me.",53,SUPPORT_COMPLAINT,ESCALATE,Repeated unsuccessful support interaction; customer is exhausted and wants resolution.,
2089264,@AmazonHelp Already sorted with help desk but you have a loooooooooong way to go before you can think manage when you come to Aus.,Already sorted with help desk but you have a loooooooooong way to go before you can think manage when you come to Aus.,23,OTHER,AUTO_HANDLE,Issue has already been resolved and no further action is requested.,
2474828,@AmazonHelp résolu pour 1 sur 2 car le vendeur français vient d'appeler.,résolu pour 1 sur 2 car le vendeur français vient d'appeler.,11,OTHER,AUTO_HANDLE,Message indicates partial resolution but gives insufficient information about the underlying issue.,
2033234,@AmazonHelp ‘Nothing we can do as they are all sold out now’ I pre-ordered this months ago in order to get the Scorpio addition. What’s the point in pre-ordering with you if it’s a risk weather you’ll actually get it?!?,‘Nothing we can do as they are all sold out now’ I pre-ordered this months ago in order to get the Scorpio addition. What’s the point in pre-ordering with you if it’s a risk weather you’ll actually get it?!?,39,ORDER_PRODUCT,ESCALATE,Pre-order/product availability problem requires customer/order-specific resolution.,
2930736,"@AmazonHelp  I wanted to order phone with another address , but I forgot to mentioned that address and ordered ..Could u help me to Change order ? It will be great if u can do ..I spoke to cc but they said not available now change","I wanted to order phone with another address , but I forgot to mentioned that address and ordered ..Could u help me to Change order ? It will be great if u can do ..I spoke to cc but they said not available now change",45,ORDER_CHANGE,ESCALATE,Customer wants to change the address/details of an existing order.,
1262588,@AmazonHelp I’ve clicked thru 50 common items and things I’ve orders before. Only options are 2 day,I’ve clicked thru 50 common items and things I’ve orders before. Only options are 2 day,16,ORDER_CHANGE,AUTO_HANDLE,Customer is asking about available delivery options rather than a specific shipment failure.,
1474641,@AmazonHelp didnt like the delivery driver today who didn’t want to come up the stairs to start and then when did threw my parcel at my door,didnt like the delivery driver today who didn’t want to come up the stairs to start and then when did threw my parcel at my door,26,DELIVERY_FAILURE,ESCALATE,Improper delivery-driver behavior requires investigation.,
1367395,@118919 It is very sad and disgusting . None.. Amazon flipcart none are delivering to DARJEELING  hill. Feels isolated,It is very sad and disgusting . None.. Amazon flipcart none are delivering to DARJEELING hill. Feels isolated,18,DELIVERY_FAILURE,ESCALATE,Delivery is unavailable to the customer's location.,
1355352,"@AmazonHelp Danke, da es auf der Xbox geht ist es wohl nichts rechtliches. Immerhin.","Danke, da es auf der Xbox geht ist es wohl nichts rechtliches. Immerhin.",13,OTHER,AUTO_HANDLE,Message is a brief resolved/commentary statement with no actionable support request.,
