tweet_id,customer_text,gold_intent,predicted_intent,intent_confidence,top1_similarity,generated_reply,grounding,response_confidence
981467,Han puesto los dos primeros capítulos de Estoy Vivo @130293. Imagino que la irán actualizando semanalmente.,OTHER,OTHER,,0.5658774375915527,¡Hola! Puedes verificar más información sobre el contenido y la disponibilidad de las series en nuestro catálogo de Prime Video visitando nuestra página de ayuda oficial. ¡Saludos!,Evidence 1 was used to guide the user to check Prime Video information resources.,0.95
2199056,"@AmazonHelp I️ guess prime video streaming doesn’t work,",TECHNICAL,TECHNICAL,,0.8417587280273438,We'd like to help! Could you please let us know what specific error message or issue you are experiencing with Prime Video?,Evidence 3 and Evidence 4 influenced asking for details about the streaming issue and login status.,0.95
1939024,@AmazonHelp I have some now after 5 1/2 hrs trying!,OTHER,OTHER,,0.8081686496734619,We appreciate your patience and are glad you finally got through! Please let us know if there is anything else we can assist you with.,Evidence 2 and Evidence 4 influenced acknowledging the customer's update positively and offering further help.,0.95
1104387,"@AmazonHelp I've tried it on two devices.  It says ""Not available"" or ""This video is currently unavailable to watch in your location.""",TECHNICAL,TECHNICAL,,0.7801759243011475,"We're sorry for the trouble with availability. Are you trying to stream from a web browser or the app, and what device are you using?",Evidence 2 influenced asking for the device and browser details when encountering availability errors.,0.95
1432324,@AmazonHelp Fed up of listening apologies from day 1. Got faulty phone. urgent need of phone by tmrw but no fast processing &amp; still u ask to wait!!!,DELIVERY_DELAY,SUPPORT_COMPLAINT,,0.739812433719635,We're so sorry for the frustration regarding your replacement phone. Please reach out to us via our support page so we can look into this urgent matter for you.,Evidence 1 inspired offering a direct link to customer support for an urgent issue.,0.95
1155096,"@AmazonHelp that date is oct 31. the issue is i paid for one day shipping and that is 7 days of waiting, why did i pay more if i have to wait a week LOL",DELIVERY_DELAY,DELIVERY_DELAY,,0.7761377692222595,I'm sorry for the frustration with your delivery timeframe. Prime One-Day Shipping refers to the transit time once the item is dispatched. Please reach out to us via chat or phone so we can look into this for you.,EVIDENCE 1 and EVIDENCE 5 influenced the response regarding transit time versus dispatch and the suggestion to contact support.,0.95
2925584,"@178440 Su servicio en Hermosillo es pésimo, ni siquiera visitan los domicilios. @116875 dejen de usarlos POR FAVOR.",DELIVERY_FAILURE,DELIVERY_FAILURE,,0.7473292350769043,Hola. Lamentamos mucho los inconvenientes con el servicio de entrega en tu zona. ¿Podrías indicarnos si tienes algún pedido pendiente con nosotros para poder ayudarte?,EVIDENCE 2 and EVIDENCE 5 influenced the response by offering an apology and asking if there is a current pending order.,0.95
2457184,@AmazonHelp @115850 is not intrested in any business. All my pasy orders are being returned for no reason? They just don’t want to co-operate. They dodn’t have any sort of responsiblity &amp; proper answers. Worst system i could have ever imagined.No use of prime membership #Noprime #NoAmazon,DELIVERY_FAILURE,SUPPORT_COMPLAINT,,0.8139082193374634,"I'm so sorry to hear about the frustration with your recent orders and returns. Without personal information, could you please contact our support team so we can look into this further and assist you?",EVIDENCE 1 and EVIDENCE 3 influenced the response by addressing the poor experience and suggesting contacting support without sharing personal info.,0.95
545718,@AmazonHelp I had a Prime Video trial for 1 month. I reported the issue (geo restriction) to Amazon.fr several times. They always told me they would come back to me. They never did. Now my trial is over.,TECHNICAL,SUPPORT_COMPLAINT,,0.8195228576660156,I'm so sorry for the delay in following up with you regarding your Prime Video geo-restriction issue. Please reach out to our customer support team directly so we can look into your account and trial status.,EVIDENCE 4 influenced the response by directing the customer to contact support for assistance with their account and trial.,0.95
134893,デリバリープロバイダさん、穴が開いた荷物を持ってくるの巻(Amazon～デリバリープロバイダの倉庫間の事故、中身がダメならAmazonに文句を言ってくれとの言質をとった) https://t.co/lOpHzTIfg4,DELIVERY_FAILURE,OTHER,,0.8133560419082642,ご迷惑をお掛けし申し訳ございません。お届けした商品や配送に問題があった場合は、返品・交換等の対応をさせていただきますので、カスタマーサービスまでお問い合わせください。,EVIDENCE 2 influenced the response by addressing damaged item concerns and directing the customer to customer service for returns or exchanges.,0.95
